en,fr2
Density dependence shape parameter,"Density dependence shape parameter,Paramètre de forme de dépendance à la densité"
Allee effect parameter,Paramètre d'effet Allee
Carrying capacity,Capacité de charge
Maximum population growth rate,Taux de croissance démographique maximal
Sex ratio,Rapport des sexes
Fitting survival,Survie adaptée
Fitting recruitment,Recrutement adapté
Predicting survival,Prédire la survie
Predicting recruitment,Prédire le recrutement
Collared caribou,Caribous avec collier
Year,Année
Number of collared caribou,Nombre de caribous muni d’un collier
Category,Catégorie
Adult females,Adultes femelle
Calves,Faons
Adult males,Adultes mâle
Adults unknown sex,Adultes sexe inconnu
Number of caribou counted,Nombre de caribous comptés
Annual Survival (%),Survie annuelle (%)
Annual female survival,Survie annuelle des femelles
Calves per 100 cows,Faons pour 100 femelles
Population growth (lambda),Croissance démographique (lambda)
Difference,Différence
Range,Écart
Please wait while the data is processed. This may take several minutes.,Veuillez patienter pendant le traitement des données. Cela peut prendre plusieurs minutes.
See the progress bar in the bottom right.,Voir la barre de progression en bas à droite.
No,Non
Yes,Oui
Data from survey,Données provenant des inventaires
Shape of the distribution of interannual variation of survival rate,Forme de la distribution de la variation interannuelle du taux de survie
Shape of the distribution of interannual variation of calves per 100 females,Forme de la distribution de la variation interannuelle du nombre de faons pour 100 femelles
"Note, this graph displays the number of animals counted in aerial surveys in each year. The survey area or time spent surveying may differ from year to year so the numbers should not be directly compared from one year to the next. These values are used by the model to estimate the ratios of males to females and females to calves in the population.","Remarque : Ce graphique présente le nombre d’animaux comptés lors des relevés aériens chaque année. La zone de relevé ou le temps consacré Ã l’observation peut varier d’une année Ã l’autre, de sorte que les chiffres ne doivent pas être comparés directement d’une année Ã l’autre. Ces valeurs sont utilisées par le modèle pour estimer les ratios de mâles par rapport aux femelles et de femelles par rapport aux faons dans la population."
